Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
Action Space,செயல் தொகுப்பு,Action Space contains all actions an agent can perform.,"Move left, right, jump in a game.",Agent செய்யக்கூடிய எல்லா செயல்களின் தொகுப்பே Action Space.,"விளையாட்டில் நகர்வு, தாவுதல் போன்ற செயல்கள்.",https://shengpu-tang.me/publication/neurips2022_factored_action_offlinerl/featured_hu_55fe3c7cb0d580e4.webp,AI
Activation Function,செயலூக்க செயல்பாடு,An Activation Function decides whether a neuron should be activated and how much signal should pass to the next layer.,"It decides whether a neuron should pass information forward.Without it, neural networks cannot learn complex patterns.",நியூரானில் வரும் மதிப்பு அடுத்த அடுக்கிற்கு செல்ல வேண்டுமா இல்லையா என்பதை தீர்மானிக்கும் செயல்பாடே செயலூக்க செயல்பாடு.,"ஒரு switch ON/OFF ஆக செயல்படுவது போல, தகவல் செல்ல வேண்டுமா வேண்டாமா என்பதை முடிவு செய்வது Activation Function.",https://www.researchgate.net/profile/Junxi-Feng/publication/335845675/figure/fig3/AS:804124836765699@1568729709680/Commonly-used-activation-functions-a-Sigmoid-b-Tanh-c-ReLU-and-d-LReLU.ppm,AI
Active Learning,செயலில் கற்றல்,Model asks for labeled data it is unsure about.,Requesting human feedback.,சந்தேகம் உள்ள data-க்கு label கேட்டு கற்றல்.,teacher-கிட்ட கேட்டு படிப்பது போல.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRMDFB9tzAB1swg1WI6I1QfOyNUt97G8PHA2CZrRr0qtWmUmegbgvgFDQOHpSld,AI
AdaBoost,அடாபூஸ்ட்,AdaBoost increases focus on difficult or wrongly predicted data points.,Giving more importance to misclassified samples.,தவறாக கணிக்கப்பட்ட தரவுகளுக்கு அதிக முக்கியத்துவம் கொடுத்து கற்றல் AdaBoost.,பலவீனமான பாடத்திற்கு அதிக பயிற்சி செய்வது AdaBoost போல.,https://www.researchgate.net/publication/373637831/figure/fig2/AS:11431281185646715@1693746651457/AdaBoost-algorithm-flow-chart.png,AI
Agent,செயல்பாட்டு அலகு,Agent is an entity that takes actions in an environment.,Game-playing AI character.,சூழலில் செயல்பட்டு முடிவு எடுக்கும் அமைப்பு Agent.,வீடியோ கேமில் AI player.,https://www.researchgate.net/profile/Drago-Indjic/publication/362412392/figure/fig1/AS:1184543360978949@1659428553548/RL-agent-environment-loop-The-agent-selects-actions-and-the-environment-responds-and.ppm,AI
Alpha-Beta Pruning,அல்பா–பீட்டா கிளை வெட்டல்,Alpha-Beta Pruning speeds up minimax by ignoring bad branches.,Skipping useless game moves.,தேவையற்ற முடிவுகளை தவிர்த்து கணக்கை வேகமாக்கும் முறை.,முக்கியமில்லாத பாதையை தவிர்ப்பது.,https://www.mygreatlearning.com/blog/wp-content/uploads/2025/01/alpha-beta-pruning-in-artificial-inteligence.png,AI
Artificial General Intelligence (AGI),பொது செயற்கை நுண்ணறிவு,AGI is AI that can perform any intellectual task like a human.,A robot that can learn any job.,மனிதனைப் போல அனைத்துத் துறைகளிலும் கற்றுக்கொள்ளும் AI AGI.,எந்த வேலையும் செய்யக்கூடிய புத்திசாலி ரோபோ.,,AI
Artificial Intelligence (AI),செயற்கை நுண்ணறிவு,"Artificial Intelligence is the technology that enables machines to simulate human intelligence such as learning, reasoning, and decision-making.","A smartphone assistant like Google Assistant listens to your voice, understands your question, and gives a correct  answer.It behaves intelligently like a human helper.","மனிதன் போல சிந்திக்கவும், கற்றுக்கொள்ளவும், முடிவெடுக்கவும் கணினி அல்லது இயந்திரங்களுக்கு திறன் அளிக்கும் தொழில்நுட்பம் தான் செயற்கை நுண்ணறிவு.","மொபைலில் Google Maps பயன்படுத்தும்போது, போக்குவரத்தை கணித்து குறைந்த நேர பாதையை காட்டுவது செயற்கை நுண்ணறிவு (AI).",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYqJNYmSbjPm911fnpsQVFjQTC72DBv-cVNdI56TgwEwDfFg7q7tvN7BgENtE,AI
Artificial Neural Network (ANN),செயற்கை நரம்பியல் வலை,"An Artificial Neural Network is a machine learning model inspired by the human brain, consisting of interconnected artificial neurons that learn patterns from data.","Banks use ANN to detect fraud transactions by learning customer spending patterns.When a transaction looks unusual, it raises an alert.","மனித மூளையின் நரம்புகள் (neurons) போல செயல்படும் செயற்கை நரம்புகளைக் கொண்டு, தரவுகளில் உள்ள வடிவங்களை கற்றுக்கொண்டு முடிவெடுக்கும் கணினி அமைப்பே செயற்கை நரம்பியல் வலை.",மொபைலில் handwriting recognition மூலம் நீங்கள் எழுதும் எழுத்துகளை புரிந்து கொள்ளுவது Artificial Neural Network (ANN).,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYqJNYmSbjPm911fnpsQVFjQTC72DBv-cVNdI56TgwEwDfFg7q7tvN7BgENtE,AI
Attention Mechanism,கவன செயல்முறை,Attention Mechanism helps a model focus on important parts of data.,Highlighting important words in translation.,முக்கியமான தகவல்களுக்கு அதிக கவனம் செலுத்த மாடலுக்கு உதவும் முறை Attention Mechanism.,வாக்கியத்தில் முக்கிய சொற்களை கவனித்து மொழிபெயர்ப்பது.,,AI
Autoencoder,தானியங்கி குறியாக்க வலை,Autoencoder is a neural network used to compress and reconstruct data.,Reducing image size and restoring it.,தரவுகளை சுருக்கி மீண்டும் உருவாக்கும் நியூரல் நெட்வொர்க் Autoencoder.,படத்தை சுருக்கி மீண்டும் தெளிவாக்குவது.,https://editor.analyticsvidhya.com/uploads/98612autoencoder.JPG,AI
Average Pooling,சராசரி சுருக்கம்,Takes average value of region.,Smooth feature reduction.,ஒரு பகுதியில் உள்ள மதிப்புகளின் சராசரி எடுக்கும் முறை.,மென்மையாகச் சுருக்குதல்.,https://www.researchgate.net/publication/333593451/figure/fig2/AS:765890261966848@1559613876098/llustration-of-Max-Pooling-and-Average-Pooling-Figure-2-above-shows-an-example-of-max.png,AI
Backpropagation,பின்நோக்கு பரவல்,Backpropagation is a training algorithm that adjusts the weights of a neural network by propagating the error backward from output to input layers.,"When a model predicts wrongly, it calculates the error and adjusts its internal weights.After many corrections, it becomes more accurate.","நியூரல் நெட்வொர்க் செய்த தவறுகளை (error) வெளியீட்டிலிருந்து உள்ளீடு வரை பின்னோக்கி அனுப்பி, எடைகளை (weights) சரிசெய்து கற்றுக்கொள்ளும் முறையே பின்நோக்கு பரவல்.","ஒரு மாணவன் test-ல் தவறு செய்ததை பார்த்து, அந்த தவறை சரி செய்ய அடுத்தமுறை படிப்பதை மாற்றுவது போல, நியூரல் நெட்வொர்க் தன் பிழையை வைத்து கற்றுக்கொள்வது Backpropagation.",https://mattmazur.com/wp-content/uploads/2018/03/neural_network-9.png,AI
Bag of Words,சொல் மூட்டை முறை,Bag of Words represents text as word frequency counts.,Counting how many times each word appears in a document.,ஒரு உரையில் உள்ள சொற்களின் எண்ணிக்கையை மட்டும் எடுத்துக் காட்டும் முறை Bag of Words.,ஒரு paragraph-ல் எத்தனை முறை ஒரு சொல் வந்தது என்று எண்ணுவது Bag of Words.,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*axffCQ9ae0FHXxhuy66FbA.png,AI
Bagging,மாதிரி சேர்க்கை,Bagging reduces variance by training models on different random data samples.,Training many models on random subsets of data.,பல data பகுதிகளில் மாடல்களை பயிற்சி செய்து பிழையை குறைக்கும் முறையே Bagging.,பல mock test practice செய்வது Bagging போல.,https://miro.medium.com/v2/resize:fit:1100/format:webp/0*vyyE8YWnlM7GfipN.jpeg,AI
Batch Normalization,குழு இயல்பாக்கம்,Batch Normalization normalizes layer inputs to speed up training and stability.,Standardizing activations in neural networks.,ஒவ்வொரு batch-க்கும் தரவை சமநிலைப்படுத்தி கற்றலை வேகமாக்கும் முறை.,பயிற்சிக்கு முன் data-ஐ சரியாக ஒழுங்குபடுத்துவது போல.,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*0jFN7UvmVxA7jAKZgU3GPg.png,AI
Bayesian Optimization,பேய்சியன் மேம்பாடு,Smart method to choose best hyperparameters efficiently.,Faster tuning than grid search.,அறிவுடன் parameter தேர்வு செய்யும் முறை.,அனுபவம் வைத்து சிறந்த முடிவு எடுப்பது போல.,,AI
Beam Search,பல பாதை தேடல்,Explores multiple best sequences in decoding.,Generating better translation sentences.,பல சிறந்த முடிவுகளை ஒரே நேரத்தில் தேடும் முறை.,சிறந்த வாக்கியங்களை தேர்வு செய்தல்.,,AI
Bias in AI,AI பாகுபாடு,Bias occurs when AI favors certain outcomes unfairly.,Hiring AI preferring one gender.,AI தவறான சாய்வுடன் முடிவு எடுக்கும் நிலை Bias.,ஒரு குழுவை மட்டும் தேர்வு செய்வது.,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*iv2x_ayHsIvJbiqN3QR8Ig.jpeg,AI
Bias–Variance Tradeoff,பாகுபாடு – மாறுபாடு சமநிலை,Bias–Variance Tradeoff is the balance between a model being too simple (high bias) and too complex (high variance) to achieve best performance.,"Balancing a ""too simple"" guess (always pizza) vs. a ""too complicated"" guess (checking the wind speed to pick dinner).",மாடல் மிகவும் எளிமையாக இருந்தால் Bias அதிகம் (Underfitting) வரும்; மிகவும் சிக்கலாக இருந்தால் Variance அதிகம் (Overfitting) வரும் — இந்த இரண்டிற்கும் நடுவே சரியான சமநிலையைப் பிடிப்பதே Bias-Variance Tradeoff.,"ஒரு மோட்டார் சைக்கிள் வேகம் மிக மெதுவாக இருந்தால் நேரம் வீணாகும், மிக வேகமாக இருந்தால் விபத்து — சரியான வேகம் தான் பாதுகாப்பு போல, மாடலிலும் சரியான சிக்கல் அளவு தேவை.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqn_ye_zgX_iPSZaQj0jKUAXj74NZD09YsRW2cCbNtys6bwKt1dHOBt2mbLXNJ,AI
Boosting,வலுப்படுத்தல்,Boosting improves model performance by focusing on correcting previous errors.,Learning step by step from mistakes.,முந்தைய தவறுகளை திருத்தி மாடலை மேம்படுத்தும் முறையே Boosting.,தவறு செய்த இடத்தை சரி செய்து கற்றல் Boosting போல.,,AI
Classification,வகைப்படுத்தல்,Classification is a machine learning task that assigns input data into predefined categories or classes.,"Looking at an email and immediately marking it as ""Spam"" or ""Inbox.""",தரவுகளை முன்பே வரையறுக்கப்பட்ட வகைகள் (classes) அல்லது குழுக்களுக்குள் பிரித்து அடையாளம் காணும் கற்றல் முறையே Classification.,"ஒரு email spam அல்லது normal என்று பிரிப்பது, அல்லது நோய் இருக்கிறதா இல்லையா என்று கண்டறிவது Classification.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9gsHSNOLPQBD9iYdQPuPRxUJXoqLiNXzoeA&s,AI
Clustering,குழுவாக்கம்,Clustering is an unsupervised learning method that groups similar data points together.,Grouping customers based on shopping behavior.,ஒத்த தன்மையுள்ள தரவுகளை தானாகக் குழுக்களாக பிரிப்பதே Clustering.,ஒரு shopping app-ல் வாடிக்கையாளர்களை வாங்கும் பழக்கத்தின் அடிப்படையில் குழுக்களாக பிரிப்பது Clustering.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9gsHSNOLPQBD9iYdQPuPRxUJXoqLiNXzoeA&s,AI
Computer Vision,கணினி பார்வை,Computer Vision enables machines to interpret visual data like images and videos.,Self-driving cars detecting roads.,படங்களை மற்றும் வீடியோக்களை கணினி புரிந்து கொள்ளும் தொழில்நுட்பம் Computer Vision.,Traffic camera வாகனங்களை அடையாளம் காண்பது Computer Vision.,https://www.researchgate.net/publication/374921761/figure/fig1/AS:11431281244018935@1715825536767/Overview-of-Object-Recognition-Computer-Vision-Tasks.png,AI
Confusion Matrix,குழப்ப அட்டவணை,Confusion Matrix is a table used to evaluate classification performance by showing correct and incorrect predictions.,Analyzing true and false predictions of a model.,மாடல் கணிப்புகள் சரியா தவறா என்பதை காட்டும் அட்டவணை Confusion Matrix.,தேர்வு முடிவுகளை சரி–தவறு எனப் பார்க்குவது போல.,https://www.researchgate.net/profile/Arda-Aras-2/publication/350487701/figure/fig1/AS:1007018756280322@1617103389957/Confusion-Matrix-for-Binary-Classification-7.ppm,AI
Continual Learning,தொடர்ச்சிக் கற்றல்,Learning continuously without forgetting old knowledge.,AI updating skills over time.,பழையதை மறக்காமல் புதியதை கற்றல்.,நாள்தோறும் திறன் மேம்படுத்தல்.,,AI
Convolution Kernel,சுருக்க வடிகட்டி,Small matrix used to extract features.,Edge detection filter.,பட அம்சங்களை கண்டறியும் சிறிய கணித அணி.,edge filter பயன்படுத்துவது.,https://www.researchgate.net/profile/Shi-Yu-Huang/publication/241639414/figure/fig11/AS:670705813299220@1536920135518/Sliding-window-operation-to-support-convolution-between-a-window-of-source-image-and-a.jpg,AI
Convolutional Neural Network (CNN),சுருக்க நரம்பியல் வலை,CNN is a neural network designed for processing image data.,Face recognition systems.,படங்களிலிருந்து அம்சங்களை கண்டறிய பயன்படும் சிறப்பு நியூரல் நெட்வொர்க் CNN.,மொபைல் Face Unlock செயல்பாடு CNN மூலம்.,https://ik.imagekit.io/upgrad1/abroad-images/imageCompo/images/unnamed8PDPDZ_1_1ZBHFR.webp?pr-true,AI
Cost Function,செலவு செயல்பாடு,A Cost Function measures the overall error of a model across the entire dataset.,Cost function combines errors from all houses predicted.It shows overall performance of the model.,முழு தரவுத்தொகுப்பில் (dataset) உள்ள அனைத்து கணிப்புகளின் மொத்த இழப்பை அளவிட பயன்படும் கணித செயல்பாடே செலவு செயல்பாடு.,"ஒரு முழு தேர்வின் மொத்த மதிப்பெண் குறைவு எவ்வளவு என்று கணக்கிடுவது போல, மொத்த பிழையை கணக்கிடுவது Cost Function.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbZV9OR64XC9UXfe0kfg7nuDZ80rk6wiqsoMVz1Egl46-8q5DHRnxmTWBl8FXc,AI
